page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
16-prosperity-fund-korea-programme_2nd-round-full-bidding-form		not	0.01	0.01	0.01348448	0.01348448	0.01	0.00000000
16-to-19-demographic-growth-capital-fund-forms		not	0.01	0.02	0.00606413	0.01175661	0.02	0.00000000
180-to-206-weeks-ultrasound-scan-tear-off-pad		not	0.01	0.01	0.05677357	0.05677357	0.01	0.00000000
2011-psychotropics-annual-return-form		not	0.01	0.01	0.00556927	0.00556927	0.01	0.00000000
2013-2014-bilateral-programme-fund		not	0.01	0.01	0.04130802	0.04130802	0.01	0.00000000
201415-prosperity-fund-korea-programme-project-concept-form		not	0.01	0.01	0.00625191	0.00625191	0.01	0.00000000
201516-prosperity-fund-korea-programme-full-bidding-form		not	0.01	0.01	0.01315536	0.01315536	0.01	0.00000000
201516-prosperity-fund-korea-programme-project-concept-form		not	0.01	0.01	0.00629797	0.00629797	0.01	0.00000000
201516-prosperity-fund-korea-programme_2nd-round-project-concept-form		not	0.01	0.01	0.00629797	0.00629797	0.01	0.00000000
24-advanced-learning-loans-facility-adjustment-request-form		not	0.01	0.01	0.04672012	0.04672012	0.12	0.00000000
aaa-screening-patient-research-application-form		not	0.01	0.01	0.01165619	0.01165619	0.01	0.00000000
abortion-notification-forms-for-england-and-wales		not	0.01	0.09	0.21565094	0.27134905	0.02	0.00000000
academies-august-accounts-return-template-and-guide		not	0.01	0.06	0.92387028	1.37538996	0.13	0.00000000
academies-budget-forecast-outturn-2016-to-2017		not	0.01	0.04	0.33693438	0.44910307	0.02	0.00000000
academies-march-accounts-return-template-and-guide		not	0.01	0.03	0.63878717	0.96821089	0.02	0.00000000
academies-severance-payments-form		not	0.01	0.02	0.00461426	0.00734596	0.02	0.00000000
academy-admission-request-form		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
academy-admission-request-form-for-looked-after-children		not	0.01	0.01	0.01369104	0.01369104	0.03	0.00000000
academy-and-free-school-funding-agreements-multi-academy-trust		not	0.01	0.08	0.02693901	0.17851715	0.04	0.00000000
academy-and-free-school-funding-agreements-single-academy-trust		not	0.01	0.08	0.04597836	0.27662821	0.04	0.00000000
academy-and-free-school-multi-model-master-funding-agreement		not	0.01	0.02	0.06446505	0.09133339	0.03	0.00000000
academy-bank-details-form		not	0.01	0.02	0.01977968	0.03131866	0.04	0.00000000
academy-conversion-model-ballot-documents-for-grammar-schools		not	0.01	0.09	0.02198811	0.11272879	0.01	0.00000000
academy-conversion-pupil-referral-unit-land-questionnaire		not	0.01	0.01	0.00737667	0.00737667	0.01	0.00000000
academy-land-questionnaires		not	0.01	0.04	0.00715170	0.02695065	0.01	0.00000000
academy-land-transfers-model-directions		not	0.01	0.06	0.00502892	0.02942820	0.01	0.00000000
academy-model-documents-schedule-of-changes		not	0.01	0.01	0.00442181	0.00442181	0.01	0.00000000
academy-model-memorandum-and-articles-of-association		not	0.01	0.08	0.02897091	0.16699266	0.09	0.00000000
academy-sponsor-application-form		not	0.01	0.01	0.02142010	0.02142010	0.03	0.00000000
academy-support-grant		not	0.01	0.02	0.00459661	0.00817995	0.02	0.00000000
academy-trust-modification-orders		not	0.01	0.03	0.00947390	0.01844625	0.01	0.00000000
acceptance-application-for-vehicle-test-and-calibration-equipment		not	0.01	0.01	0.02625027	0.02625027	0.01	0.00000000
access-fund-for-sustainable-travel-application-form		not	0.01	0.03	0.10763035	0.12753563	0.03	0.00000000
access-to-work-eligibility-letter-for-employees-and-employers		not	0.01	0.04	0.03561687	0.06710596	0.02	0.00000000
accessibility-changes-to-a-type-vehicle-notification-form-psv-400b		not	0.01	0.01	0.13612747	0.13612747	0.02	0.00000000
accessibility-requirements-type-approval-specification-psva-12		not	0.01	0.01	0.03349323	0.03349323	0.01	0.00000000
accountant-or-solicitor-certificate-to-confirm-new-or-young-farmer-status-for-the-basic-payment-scheme		not	0.01	0.02	0.10463877	0.18708429	0.03	0.00000000
acmd-open-meeting-12-june-2014-registration-form		not	0.01	0.01	0.00296555	0.00296555	0.01	0.00000000
acmd-open-meeting-march-2012		not	0.01	0.01	0.00443192	0.00443192	0.01	0.00000000
acmd-open-meeting-registration-form		not	0.01	0.01	0.00277700	0.00277700	0.01	0.00000000
acmd-open-meeting-registration-form-2-july-2015		not	0.01	0.01	0.00148430	0.00148430	0.01	0.00000000
acmd-open-meeting-registration-form-may-2013		not	0.01	0.01	0.00449657	0.00449657	0.01	0.00000000
acmd-open-meeting-registration-form-november-2010		not	0.01	0.01	0.00449696	0.00449696	0.01	0.00000000
acmd-public-meeting-24-november-2015		not	0.01	0.02	0.01642036	0.01850748	0.01	0.00000000
acmd-review-on-mdma-registration-form		not	0.01	0.01	0.00439548	0.00439548	0.01	0.00000000
active-farmer-readmission-accountant-certificate		not	0.01	0.02	0.05071869	0.08097372	0.01	0.00000000
acute-hepatitis-a-and-e-confirmed-hepatitis-c-reporting-form		not	0.01	0.01	0.02070274	0.02070274	0.01	0.00000000
acute-hepatitis-b-enhanced-surveillance-questionnaire		not	0.01	0.02	0.03234301	0.05533638	0.01	0.00000000
acute-respiratory-infection-outbreak-reporting-form		not	0.01	0.01	0.00547695	0.00547695	0.03	0.00000000
additional-cph-for-an-officially-tb-free-cattle-business-application		not	0.01	0.01	0.02799692	0.02799692	0.01	0.00000000
adi-continuing-professional-development-evaluation-template		not	0.01	0.01	0.00399904	0.00399904	0.01	0.00000000
adi-standards-check-form-example		not	0.01	0.01	0.05262728	0.05262728	0.03	0.00000000
adi-suspension-application-for-compensation		not	0.01	0.01	0.01703138	0.01703138	0.01	0.00000000
adjacent-holding-licence-application-wales		not	0.02	0.01	0.02099829	0.02099829	0.01	0.00000000
administrators-progress-report-insolvency-form-220b-scotland		not	0.01	0.02	0.00384293	0.00549765	0.01	0.00000000
adoption-certificate-application-form		not	0.01	0.01	0.00498428	0.00498428	0.01	0.00000000
adoption-services-practice-and-improvement-fund		not	0.01	0.04	0.06504593	0.19019718	0.06	0.00000000
adoption-support-agencies-pre-inspection-form		not	0.01	0.01	0.00537910	0.00537910	0.01	0.00000000
adverse-possession-notification-adv2		not	0.01	0.02	0.03556318	0.04654531	0.03	0.00000000
adverse-possession-of-rentcharge-statement-of-truth-st2		not	0.01	0.02	0.03457317	0.04358807	0.02	0.00000000
adverse-possession-registration-adv1		not	0.01	0.02	0.04292688	0.05532246	0.04	0.00000000
adverse-possession-statement-of-truth-st1		not	0.01	0.02	0.03513641	0.04333591	0.02	0.00000000
advisory-council-on-the-misuse-of-drugs-recruitment-campaign		not	0.02	0.03	0.03819246	0.07947550	0.01	0.00000000
aerial-work-flying-training-using-foreign-registered-aircraft-in-the-uk		not	0.02	0.0	0.00000000	0.00000000	0.01	0.00000000
af1-claim-for-advocate-graduated-fees		not	0.01	0.04	0.03249989	0.08278923	0.05	0.00000000
af2-advocate-graduated-fee-redetermination-form		not	0.01	0.01	0.00745974	0.00745974	0.01	0.00000000
afcs-and-war-pensions-scheme-claim-form		not	0.02	0.01	0.37892942	0.37892942	0.03	0.00000000
afcs-fast-payment-application-form		not	0.01	0.01	0.01998606	0.01998606	0.03	0.00000000
affidavit		not	0.01	0.01	0.00964794	0.00964794	0.01	0.00000000
affidavit-form		not	0.01	0.01	0.00291748	0.00291748	0.02	0.00000000
affidavit-form-china		not	0.01	0.01	0.00143652	0.00143652	0.01	0.00000000
affidavit-form-macao		not	0.01	0.01	0.00262156	0.00262156	0.01	0.00000000
affidavit-form-oman		not	0.01	0.01	0.00104179	0.00104179	0.01	0.00000000
affidavit-form-slovenia		not	0.01	0.02	0.04502096	0.08454847	0.01	0.00000000
affidavit-marriage-in-peru-spanish-only		not	0.01	0.01	0.00833693	0.00833693	0.02	0.00000000
affidavit-of-marital-status		not	0.01	0.01	0.00319252	0.00319252	0.01	0.00000000
affidavit-of-marital-status-jordan		not	0.01	0.01	0.00750732	0.00750732	0.01	0.00000000
affidavitaffirmatin-forms-belarus		not	0.01	0.04	0.00563669	0.01527491	0.01	0.00000000
affidavitaffirmatin-of-marital-status-forms-uae		not	0.01	0.02	0.00509033	0.00983896	0.03	0.00000000
affidavitaffirmation-form-poland		not	0.01	0.01	0.02475681	0.02475681	0.01	0.00000000
affidavitaffirmation-forms-latvia		not	0.01	0.01	0.07632513	0.07632513	0.01	0.00000000
affidavitaffirmation-of-marital-status-form-belgium		not	0.01	0.02	0.00313416	0.00624571	0.01	0.00000000
affidavitaffirmation-of-marital-status-japan		not	0.01	0.03	0.08353930	0.08707380	0.02	0.00000000
affirmation-affidavit-for-same-sex-marriage-form-vietnam		not	0.01	0.02	0.00323858	0.00629807	0.01	0.00000000
affirmation-affidavit-of-marital-status-vietnam		not	0.01	0.02	0.00355005	0.00705948	0.01	0.00000000
affirmation-form		not	0.01	0.01	0.00444078	0.00444078	0.01	0.00000000
affirmation-form-china		not	0.01	0.01	0.00137758	0.00137758	0.01	0.00000000
affirmation-form-macao		not	0.01	0.01	0.00263910	0.00263910	0.01	0.00000000
affirmation-of-marital-status		not	0.01	0.01	0.00319414	0.00319414	0.01	0.00000000
affirmation-of-marital-status--2		not	0.01	0.01	0.00990200	0.00990200	0.01	0.00000000
affirmationaffidavit-of-marital-status-form		not	0.01	0.01	0.00764694	0.00764694	0.01	0.00000000
affordable-homes-programme-2015-to-2018-qualification		not	0.01	0.04	0.03451366	0.05855627	0.01	0.00000000
