count	ngram
592	to the best of my knowledge and belief
437	you do not have to give any contact
437	do not have to give any contact information
435	if there is a query on the form
427	give will be visible to searchers of the
427	if you do it will help companies house
427	but if you do it will help companies
427	be visible to searchers of the public record
427	you give will be visible to searchers of
427	will be visible to searchers of the public
421	is a query on the form the contact
421	there is a query on the form the
421	a query on the form the contact information
381	complete in typescript or in bold black capitals
378	please complete in typescript or in bold black
372	d d m m y y y y
366	further information please see the guidance notes on
366	for further information please see the guidance notes
363	please see the guidance notes on the website
363	please visit the forms page on the website
363	information please see the guidance notes on the
363	crown way cardiff wales cf uz dx cardiff
363	visit the forms page on the website at
363	the forms page on the website at www
362	the guidance notes on the website at www
362	available in an alternative format please visit the
362	an alternative format please visit the forms page
362	may return this form to any companies house
362	alternative format please visit the forms page on
362	companies house crown way cardiff wales cf uz
362	in an alternative format please visit the forms
362	see the guidance notes on the website at
362	you may return this form to any companies
362	format please visit the forms page on the
361	will help companies house if there is a
361	do it will help companies house if there
361	to give any contact information but if you
361	this form is available in an alternative format
361	is available in an alternative format please visit
361	any contact information but if you do it
361	not have to give any contact information but
361	enquiries companieshouse gov uk this form is available
361	gov uk this form is available in an
361	companieshouse gov uk this form is available in
361	or email enquiries companieshouse gov uk this form
361	give any contact information but if you do
361	return this form to any companies house address
361	form is available in an alternative format please
361	further information please refer to our guidance at
361	information please refer to our guidance at www
361	information but if you do it will help
361	information you do not have to give any
361	it will help companies house if there is
361	you do it will help companies house if
361	email enquiries companieshouse gov uk this form is
361	help companies house if there is a query
361	contact information but if you do it will
361	house crown way cardiff wales cf uz dx
361	presenter information you do not have to give
361	have to give any contact information but if
361	for further information please refer to our guidance
360	registrar of companies companies house crown way cardiff
360	send you may return this form to any
360	to send you may return this form to
360	uk this form is available in an alternative
360	where to send you may return this form
359	house if there is a query on the
359	companies house if there is a query on
359	the registrar of companies companies house crown way
359	companies companies house crown way cardiff wales cf
359	of companies companies house crown way cardiff wales
356	filling in this form please complete in typescript
355	this form please complete in typescript or in
355	in this form please complete in typescript or
355	name address post town county region postcode dx
354	form please complete in typescript or in bold
354	has been provided free of charge by companies
354	address post town county region postcode dx telephone
354	been provided free of charge by companies house
353	visible to searchers of the public record contact
353	to searchers of the public record contact name
352	return forms completed incorrectly or with information missing
352	we may return forms completed incorrectly or with
352	may return forms completed incorrectly or with information
351	this form will appear on the public record
350	this form has been provided free of charge
350	name company name address post town county region
350	company name address post town county region postcode
350	contact name company name address post town county
349	form has been provided free of charge by
347	information on this form will appear on the
347	all information on this form will appear on
347	on this form will appear on the public
347	please make sure you have remembered the following
344	checklist we may return forms completed incorrectly or
341	record contact name company name address post town
341	public record contact name company name address post
341	of the public record contact name company name
341	the public record contact name company name address
341	searchers of the public record contact name company
339	post town county region postcode dx telephone country
335	match the information held on the public register
327	expediency we advise you to return it to
327	we advise you to return it to the
327	for expediency we advise you to return it
327	however for expediency we advise you to return
326	house address however for expediency we advise you
326	address however for expediency we advise you to
326	companies house address however for expediency we advise
326	any companies house address however for expediency we
326	to any companies house address however for expediency
325	this form to any companies house address however
325	form to any companies house address however for
321	make sure you have remembered the following the
311	information you give will be visible to searchers
311	the contact information you give will be visible
311	contact information you give will be visible to
305	form the contact information you give will be
305	on the form the contact information you give
305	query on the form the contact information you
305	the form the contact information you give will
304	number match the information held on the public
303	name and number match the information held on
303	and number match the information held on the
302	the information held on the public register you
299	information held on the public register you have
291	wales the registrar of companies companies house crown
291	england and wales the registrar of companies companies
291	and wales the registrar of companies companies house
282	form is for you may use this form
282	what this form is for you may use
282	this form is for you may use this
280	way cardiff wales cf uz dx cardiff for
279	all fields are mandatory unless specified or indicated
279	in bold black capitals all fields are mandatory
279	bold black capitals all fields are mandatory unless
279	in typescript or in bold black capitals all
279	or in bold black capitals all fields are
279	town county region postcode dx telephone country this
279	fields are mandatory unless specified or indicated by
279	typescript or in bold black capitals all fields
278	capitals all fields are mandatory unless specified or
278	black capitals all fields are mandatory unless specified
277	public record presenter information you do not have
277	on the public record presenter information you do
277	appear on the public record presenter information you
277	record presenter information you do not have to
277	the public record presenter information you do not
274	country this form has been provided free of
274	county region postcode dx telephone country this form
274	dx telephone country this form has been provided
274	region postcode dx telephone country this form has
274	postcode dx telephone country this form has been
274	telephone country this form has been provided free
272	is for you may use this form to
270	will appear on the public record presenter information
266	form will appear on the public record presenter
259	advise you to return it to the appropriate
259	you to return it to the appropriate address
259	to return it to the appropriate address below
258	return it to the appropriate address below for
257	in england and wales the registrar of companies
257	registered in england and wales the registrar of
249	linenhall linenhall street belfast northern ireland bt bg
249	floor the linenhall linenhall street belfast northern ireland
249	belfast northern ireland bt bg dx n r
249	the linenhall linenhall street belfast northern ireland bt
249	companies house second floor the linenhall linenhall street
249	companies companies house second floor the linenhall linenhall
249	second floor the linenhall linenhall street belfast northern
249	of companies companies house second floor the linenhall
249	the registrar of companies companies house second floor
249	registrar of companies companies house second floor the
249	northern ireland bt bg dx n r belfast
248	street belfast northern ireland bt bg dx n
248	linenhall street belfast northern ireland bt bg dx
248	house second floor the linenhall linenhall street belfast
247	northern ireland the registrar of companies companies house
246	ireland the registrar of companies companies house second
245	the registrar of companies companies house fourth floor
245	of companies companies house fourth floor edinburgh quay
245	dx ed edinburgh or lp edinburgh legal post
245	registrar of companies companies house fourth floor edinburgh
244	fountainbridge edinburgh scotland eh ff dx ed edinburgh
244	eh ff dx ed edinburgh or lp edinburgh
244	scotland the registrar of companies companies house fourth
243	that all information on this form will appear
243	please note that all information on this form
243	note that all information on this form will
243	edinburgh scotland eh ff dx ed edinburgh or
243	scotland eh ff dx ed edinburgh or lp
243	ff dx ed edinburgh or lp edinburgh legal
243	floor edinburgh quay fountainbridge edinburgh scotland eh ff
243	fourth floor edinburgh quay fountainbridge edinburgh scotland eh
242	edinburgh quay fountainbridge edinburgh scotland eh ff dx
242	house fourth floor edinburgh quay fountainbridge edinburgh scotland
242	quay fountainbridge edinburgh scotland eh ff dx ed
242	companies house fourth floor edinburgh quay fountainbridge edinburgh
242	companies companies house fourth floor edinburgh quay fountainbridge
235	incorrectly or with information missing please make sure
235	or with information missing please make sure you
235	missing please make sure you have remembered the
235	what this form is not for you cannot
235	forms completed incorrectly or with information missing please
235	completed incorrectly or with information missing please make
235	this form is not for you cannot use
235	with information missing please make sure you have
235	information missing please make sure you have remembered
233	sure you have remembered the following the company
230	have remembered the following the company name and
230	important information please note that all information on
230	you have remembered the following the company name
229	remembered the following the company name and number
226	information please note that all information on this
217	is not for you cannot use this form
216	form is not for you cannot use this
215	am signing this form on behalf of the
215	i am signing this form on behalf of
212	company name and number match the information held
211	registered in northern ireland the registrar of companies
211	in northern ireland the registrar of companies companies
210	the company name and number match the information
210	further informationi checklist we may return forms completed
210	informationi checklist we may return forms completed incorrectly
209	registered in scotland the registrar of companies companies
209	in scotland the registrar of companies companies house
208	concept house cardiff road newport south wales np
207	house cardiff road newport south wales np qq
207	please refer to our guidance at www gov
207	ed edinburgh or lp edinburgh legal post for
207	to our guidance at www gov uk companieshouse
207	refer to our guidance at www gov uk
205	on the website at www gov uk companieshouse
205	correct to the best of my knowledge and
205	uk companieshouse or email enquiries companieshouse gov uk
205	forms page on the website at www gov
205	page on the website at www gov uk
205	gov uk companieshouse or email enquiries companieshouse gov
205	notes are for guidance only and reflect the
205	these notes are for guidance only and reflect
204	companieshouse or email enquiries companieshouse gov uk this
204	notes on the website at www gov uk
204	the website at www gov uk companieshouse or
204	website at www gov uk companieshouse or email
204	www gov uk companieshouse or email enquiries companieshouse
204	guidance notes on the website at www gov
204	at www gov uk companieshouse or email enquiries
200	is an operating name of the patent office
200	following the company name and number match the
200	property office is an operating name of the
200	the following the company name and number match
200	office is an operating name of the patent
199	intellectual property office is an operating name of
197	the time of writing they do not affect
197	position at the time of writing they do
197	at the time of writing they do not
192	belfast for further information please see the guidance
192	dx n r belfast for further information please
192	r belfast for further information please see the
192	ireland bt bg dx n r belfast for
192	bg dx n r belfast for further information
192	bt bg dx n r belfast for further
192	n r belfast for further information please see
185	the department for environment food and rural affairs
181	the best of my knowledge and belief i
181	be completed in black ink and in block
181	completed in black ink and in block capitals
179	for more information go to www gov uk
178	the website at www gov uk companieshouse further
177	form that are not typed should be completed
177	of the form that are not typed should
177	parts of the form that are not typed
177	any parts of the form that are not
177	are not typed should be completed in black
177	typed should be completed in black ink and
177	the form that are not typed should be
177	that are not typed should be completed in
177	not typed should be completed in black ink
175	should be completed in black ink and in
174	building name number street post town county region
174	company details company name in full company number
170	we may get information about you from others
167	not for you cannot use this form to
166	the position at the time of writing they
166	only and reflect the position at the time
166	guidance only and reflect the position at the
166	website at www gov uk companieshouse further informationi
166	reflect the position at the time of writing
166	and reflect the position at the time of
165	for guidance only and reflect the position at
165	are for guidance only and reflect the position
164	help you fill in this form go to
163	companieshouse gov uk or email enquiries companieshouse gov
163	gov uk or email enquiries companieshouse gov uk
161	uk or email enquiries companieshouse gov uk this
159	www nationalarchives gov uk doc open government licence
158	the fraud act the maximum penalty for which
158	a statement that you know is or might
158	forms page on the website at www companieshouse
158	statement that you know is or might be
158	and intend by doing so to make a
158	website at www companieshouse gov uk or email
158	years imprisonment or an unlimited fine or both
158	act the maximum penalty for which is years
158	the website at www companieshouse gov uk or
158	of loss to another person you may commit
158	risk of loss to another person you may
158	may commit the offence of fraud under section
158	be untrue or misleading and intend by doing
158	which is years imprisonment or an unlimited fine
158	a gain for yourself or another person or
158	or might be untrue or misleading and intend
158	misleading and intend by doing so to make
158	know is or might be untrue or misleading
158	you dishonestly enter information or make a statement
158	is years imprisonment or an unlimited fine or
158	section of the fraud act the maximum penalty
158	page on the website at www companieshouse gov
158	is or might be untrue or misleading and
158	might be untrue or misleading and intend by
158	another person or to cause loss or the
158	to cause loss or the risk of loss
158	you may commit the offence of fraud under
158	if you dishonestly enter information or make a
158	to another person you may commit the offence
158	so to make a gain for yourself or
158	guidance notes on the website at www companieshouse
158	or the risk of loss to another person
158	make a gain for yourself or another person
158	by doing so to make a gain for
158	person you may commit the offence of fraud
158	for which is years imprisonment or an unlimited
158	of the fraud act the maximum penalty for
158	commit the offence of fraud under section of
158	enter information or make a statement that you
158	make a statement that you know is or
158	the offence of fraud under section of the
158	untrue or misleading and intend by doing so
158	or to cause loss or the risk of
158	or make a statement that you know is
158	another person you may commit the offence of
158	maximum penalty for which is years imprisonment or
158	www companieshouse gov uk or email enquiries companieshouse
158	the risk of loss to another person you
158	that you know is or might be untrue
158	or misleading and intend by doing so to
158	the maximum penalty for which is years imprisonment
158	penalty for which is years imprisonment or an
158	under section of the fraud act the maximum
158	or another person or to cause loss or
158	you know is or might be untrue or
158	for yourself or another person or to cause
158	loss to another person you may commit the
158	to make a gain for yourself or another
158	yourself or another person or to cause loss
158	cause loss or the risk of loss to
158	gain for yourself or another person or to
158	doing so to make a gain for yourself
158	loss or the risk of loss to another
158	offence of fraud under section of the fraud
158	of fraud under section of the fraud act
158	on the website at www companieshouse gov uk
158	information or make a statement that you know
158	intend by doing so to make a gain
158	fraud under section of the fraud act the
158	notes on the website at www companieshouse gov
158	at www companieshouse gov uk or email enquiries
158	fraud act the maximum penalty for which is
158	person or to cause loss or the risk
158	dishonestly enter information or make a statement that
157	check box check box check box check box
156	to our guidance at www companieshouse gov uk
156	please refer to our guidance at www companieshouse
156	refer to our guidance at www companieshouse gov
155	address below for companies registered in england and
155	for companies registered in england and wales the
155	below for companies registered in england and wales
155	it to the appropriate address below for companies
155	companies registered in england and wales the registrar
155	the appropriate address below for companies registered in
155	appropriate address below for companies registered in england
155	to the appropriate address below for companies registered
154	room than is provided for in a panel
154	you need more room than is provided for
154	if you need more room than is provided
154	more room than is provided for in a
154	need more room than is provided for in
152	under the terms of the open government licence
149	writing they do not affect the right of
149	they do not affect the right of appeal
149	time of writing they do not affect the
149	of writing they do not affect the right
