count	ngram
2200	www gov uk
2073	if you are
1840	if you have
1754	details of the
1735	you do not
1621	a copy of
1620	on behalf of
1585	part of the
1582	in accordance with
1521	in this form
1444	if you do
1382	if there is
1374	name of the
1355	section of the
1328	there is a
1293	the date of
1283	copy of the
1272	name and address
1255	on this form
1235	in respect of
1220	do not have
1219	any of the
1215	of the following
1212	will need to
1198	more than one
1195	will not be
1192	please note that
1144	if you need
1104	to the best
1103	be able to
1102	this form please
1099	the best of
1087	of the form
1086	in the uk
1060	this form is
1057	gov uk government
1056	one of the
1051	of this form
1043	date of birth
1035	behalf of the
1012	best of my
994	you need to
989	for the purposes
979	https www gov
935	in order to
934	you wish to
931	accordance with the
926	please refer to
923	the name of
914	at the time
911	this form to
910	you will need
902	can be found
893	the end of
891	that you have
881	in relation to
876	as part of
873	this is the
868	gsi gov uk
864	data protection act
862	of my knowledge
857	not have to
847	the purposes of
834	make sure you
827	the purpose of
818	for more information
815	to make a
809	there is no
804	for further information
803	set out in
802	the data protection
800	of the person
795	the amount of
795	england and wales
782	to do so
781	on the form
780	give details of
776	and address of
771	the time of
767	the number of
763	use this form
761	the guidance notes
757	be used for
754	fill in this
746	to ensure that
741	please see the
738	as a result
731	of the public
729	need to be
727	a separate sheet
726	you will be
715	that the information
715	knowledge and belief
714	uk government publications
714	all of the
714	dd mm yyyy
709	please give details
703	on a separate
703	description of the
702	is to be
701	at www gov
694	please read the
693	date of the
693	as well as
692	at any time
690	you have any
686	in the box
685	please make sure
684	it is not
677	details of any
675	full name of
671	if it is
671	refer to the
670	it to the
666	to fill in
663	address of the
658	my knowledge and
655	i confirm that
654	you want to
654	for the purpose
652	in the form
650	the united kingdom
649	go to www
648	filling in this
647	what is the
642	the right to
640	website at www
638	provide details of
638	if yes please
634	yes no if
633	in connection with
629	under section of
628	complete this form
628	that it is
625	if you wish
625	you have a
623	you are not
623	free of charge
623	one or more
618	fill in the
617	at the end
610	please give the
610	end of the
609	you may be
608	not need to
607	this form will
605	if you want
600	to be used
599	completing this form
598	but if you
594	be signed by
593	be used to
592	of the above
592	in the case
591	it will help
591	of the company
590	this form if
589	form if you
587	the application form
587	where to send
587	do not need
584	part of a
583	to apply for
