count	ngram
5484	of the
4905	to the
4552	in the
4124	on the
3997	to be
3954	for the
3862	if you
3676	gov uk
3611	this form
3526	will be
3397	by the
3201	you have
3159	that the
3141	and the
3119	of a
3100	in this
3067	name of
3061	details of
3028	with the
3007	date of
2963	the following
2907	do not
2868	if the
2849	must be
2841	you are
2837	is a
2812	has been
2785	may be
2765	from the
2742	is not
2718	it is
2710	at the
2691	should be
2635	the information
2622	of this
2595	the form
2462	is the
2438	can be
2428	for a
2424	need to
2404	there is
2375	in a
2374	under the
2325	you may
2308	as a
2308	part of
2294	name and
2223	that you
2211	of any
2205	of your
2200	www gov
2184	have been
2156	to a
2151	or the
2125	this is
2114	number of
2047	you must
2012	copy of
2001	the date
1987	are not
1983	more than
1959	any other
1946	not be
1926	will not
1923	on a
1900	for example
1887	you can
1880	you do
1869	and or
1835	on this
1799	be used
1786	the relevant
1775	a copy
1768	or other
1753	in accordance
1753	all the
1745	you will
1745	by a
1734	you need
1728	if there
1684	of an
1671	form to
1671	please note
1666	where the
1665	or a
1656	to provide
1650	you should
1648	the person
1643	it to
1642	name address
1639	the application
1639	which the
1638	please complete
1635	full name
1628	behalf of
1628	to make
1626	have to
1625	on behalf
1623	does not
1615	use the
1614	the same
1607	any of
1604	as the
1600	be made
1596	information on
1588	to this
1584	with a
1583	accordance with
1582	not have
1580	for each
1570	within the
1568	use this
1558	the appropriate
1555	have a
1554	e g
1554	it will
1554	you to
1551	section of
1544	to do
1541	we will
1541	the uk
1535	the name
1505	a separate
1498	address of
1495	which is
1493	yes no
1488	be completed
1487	form please
1485	application for
1480	information you
1475	such as
1474	complete the
1435	and other
1434	to your
1431	go to
1427	able to
1423	type of
1423	up to
1422	refer to
1420	is an
1416	wish to
1414	and any
1412	further information
1411	if any
1402	to complete
1401	to give
1391	form is
1387	and address
1383	they are
1383	relating to
1375	please provide
1373	to any
1370	please give
1369	is to
1364	to you
1360	or in
1355	note that
1351	telephone number
1341	we may
1339	one of
1328	that is
1323	the best
1317	information about
1314	in which
1313	for any
1309	for this
1305	there are
1302	this application
1298	email address
1298	will need
1298	of all
1298	the address
1297	the guidance
1293	fill in
1290	the full
1288	form and
1282	about the
1277	ensure that
1272	do you
1265	see the
1256	in your
1255	reference number
1253	including the
1252	your application
1250	will help
1250	read the
1243	make sure
1242	in any
1240	in respect
1239	of these
1238	than one
1237	respect of
1236	the public
1235	subject to
1235	http www
1228	if your
1226	this will
1226	i have
1223	how to
1223	make a
1221	the time
1221	description of
1221	be a
1212	required to
1211	contact details
1211	during the
1210	this section
1207	with this
1206	application form
1204	complete this
1204	enter the
1203	and in
1200	provide the
1199	the above
1189	and to
1185	for further
1181	for which
1180	is available
1178	for more
1178	or more
1177	that are
1175	of my
1175	the box
1154	or any
1154	s name
1153	give the
1152	with your
1150	to use
1150	uk government
1149	and a
1148	give details
1147	please tick
1147	confirm that
1145	is for
1144	at least
1140	signature date
1139	to an
1137	the amount
1137	guidance notes
1135	apply to
1131	for your
1131	name in
1130	amount of
1127	and that
1127	used for
1125	if applicable
1125	on your
1123	if yes
1122	the first
1121	if a
1119	from a
1117	which you
1114	for an
1113	the data
1112	of birth
1111	at www
1109	provide a
1109	in an
1109	to send
