attachment	filename	page	name	url	size	mime	magic
116898	02-cert-des-change.doc	certificate-of-designation-application-for-change	Certificate of designation application for change (Microsoft Word file - 94kb)	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/116898/02-cert-des-change.doc	94721	application/msword	Composite Document File V2 Document, Little Endian, Os: Windows, Version 5.1, Code page: 1252, Title:  Application form : changes to a certificate of designation , Subject: Animal experimentation, Animal rights and welfare, Author: Animals Procedures Unit, Keywords: animals in scientific procedures, vivisection, Animals (Scientific Procedures) Act 1986, Template: Normal.dot, Last Saved By: godsonb, Revision Number: 3, Name of Creating Application: Microsoft Word 10.0, Total Editing Time: 04:00, Last Printed: Mon Oct 18 11:36:00 2010, Create Time/Date: Mon Oct  4 11:49:00 2010, Last Saved Time/Date: Mon Oct 18 11:36:00 2010, Number of Pages: 1, Number of Words: 228, Number of Characters: 1304, Security: 0
116899	01-cert-des-ap.doc	certificate-of-designation-application-form	Certificate of designation application form (Microsoft Word file - 120kb)	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/116899/01-cert-des-ap.doc	120833	application/msword	Composite Document File V2 Document, Little Endian, Os: Windows, Version 5.1, Code page: 1252, Title: Application form : certificate of designation, Subject: Animal experimentation, Animal rights and welfare, Keywords: animals in scientific procedures, vivisection, Animals (Scientific Procedures) Act 1986, Template: Normal.dot, Revision Number: 7, Name of Creating Application: Microsoft Word 10.0, Total Editing Time: 22:00, Last Printed: Mon Oct 18 14:05:00 2010, Create Time/Date: Fri Oct 15 10:53:00 2010, Last Saved Time/Date: Mon Oct 18 14:07:00 2010, Number of Pages: 1, Number of Words: 847, Number of Characters: 4829, Security: 0
117799	firearms2.pdf	possess-purchase-acquire-manufacture-sell-or-transfer-prohibited-weapons-and-or-ammunition-application-form	Application for the authority of the Secretary of State under section 5 of the Firearms Act 1968 (as amended) to possess, purchase, acquire, manufacture, sell or transfer prohibited weapons and/or ammunition	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/117799/firearms2.pdf	92658	application/pdf	PDF document, version 1.5
117800	firearms1.pdf	approval-or-renewal-of-approval-for-a-rifle-or-pistol-club-application-form	Application for approval or renewal of approval by the Secretary of State for a rifle or pistol club	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/117800/firearms1.pdf	33793	application/pdf	PDF document, version 1.4
118028	RA1-bilingual.pdf	required-assessment-ra-forms	Required Assessment 1 (RA1) bilingual form	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118028/RA1-bilingual.pdf	63568	application/pdf	PDF document, version 1.4
118029	RA2-bilingual.pdf	required-assessment-ra-forms	Required Assessment 2 (RA2) bilingual form	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118029/RA2-bilingual.pdf	54176	application/pdf	PDF document, version 1.4
118030	RA3-bilingual.pdf	required-assessment-ra-forms	Required Assessment 3 (RA3) bilingual form	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118030/RA3-bilingual.pdf	52577	application/pdf	PDF document, version 1.4
118031	RA4-bilingual.pdf	required-assessment-ra-forms	Required Assessment 4 (RA4) bilingual form	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118031/RA4-bilingual.pdf	53024	application/pdf	PDF document, version 1.4
118032	RA5-bilingual.pdf	required-assessment-ra-forms	Required Assessment 5 (RA5) bilingual form	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118032/RA5-bilingual.pdf	32240	application/pdf	PDF document, version 1.4
118049	DT2.pdf	drugs-test-2-dt2--2	Drugs Test 2 (DT2)	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/118049/DT2.pdf	96197	application/pdf	PDF document, version 1.5
