page	timestamp	text
apply-for-a-postal-vote	2017-05-12T15:07:46.000+01:00	Updated postal vote form for England
apply-for-a-postal-vote	2016-04-26T16:05:45.000+01:00	Updated postal vote form
apply-for-a-postal-vote	2015-09-04T10:51:24.000+01:00	Added Welsh language form
apply-for-a-postal-vote	2015-03-09T15:13:31.000+00:00	Form updated.
apply-for-a-postal-vote	2014-06-10T00:15:00.000+01:00	First published.
proxy-voting-application-forms	2015-09-21T18:58:48.000+01:00	Welsh form added
proxy-voting-application-forms	2015-09-10T19:22:55.000+01:00	Added Welsh language forms
proxy-voting-application-forms	2015-03-09T15:13:07.000+00:00	Forms updated.
proxy-voting-application-forms	2014-06-10T00:15:00.000+01:00	First published.
application-for-a-vehicle-registration-certificate	2016-11-16T11:08:55.000+00:00	Added translation
application-for-a-vehicle-registration-certificate	2015-10-28T08:53:33.000+00:00	Latest version of V62 form added.
application-for-a-vehicle-registration-certificate	2014-10-01T14:03:10.000+01:00	Update version of the V62 form.
application-for-a-vehicle-registration-certificate	2014-01-20T13:51:35.000+00:00	Re-formatted the Welsh version due to customer feedback
application-for-a-vehicle-registration-certificate	2014-01-08T11:10:38.000+00:00	Re-formatted the form due to customer feedback
application-for-a-vehicle-registration-certificate	2013-07-01T14:07:29.000+01:00	New version of the form
application-for-a-vehicle-registration-certificate	2011-07-01T01:00:00.000+01:00	First published.
child-benefit-claim-form-ch2	2017-04-06T00:15:46.000+01:00	This guidance has been updated to reflect 2017 to 2018 forms with new tax year changes effective from 6 April 2017.
child-benefit-claim-form-ch2	2016-11-10T09:32:26.000+00:00	Address label (CH3) attached to bottom of Child Benefit claim form (CH2): print then complete pdf.
child-benefit-claim-form-ch2	2016-10-01T00:15:09.000+01:00	English and Welsh version of form CH2 and CH2 Notes have been updated to reflect new tax year changes.
child-benefit-claim-form-ch2	2016-04-06T05:00:05.000+01:00	English and Welsh version of form CH2, CH2 Notes and CH2 (CS) have been updated to reflect new tax year changes.
child-benefit-claim-form-ch2	2015-05-14T12:33:30.000+01:00	The CH3 address label on the CH2 has been adjusted so it's now on 1 page.
child-benefit-claim-form-ch2	2015-04-06T00:30:51.000+01:00	The 2015 to 2016 form has been added to this page.
child-benefit-claim-form-ch2	2014-10-01T10:00:23.000+01:00	New versions of forms Child Benefit claim form (CH2): print then complete and Child Benefit: getting your claim right (CH2 Notes).
child-benefit-claim-form-ch2	2014-04-11T01:00:00.000+01:00	Added translation
voter-registration-forms-paper-versions	2016-11-09T15:55:32.000+00:00	Updated new register to vote forms.
voter-registration-forms-paper-versions	2016-06-30T11:47:21.000+01:00	Updated new register to vote forms
voter-registration-forms-paper-versions	2016-03-23T15:16:42.000+00:00	Added new register to vote form - Welsh language version
voter-registration-forms-paper-versions	2015-09-09T13:13:56.000+01:00	Added Register to vote (living in Scotland) - large print
voter-registration-forms-paper-versions	2015-08-19T16:45:50.000+01:00	Updated large print version
voter-registration-forms-paper-versions	2015-07-31T10:09:45.000+01:00	Added Scottish paper forms
voter-registration-forms-paper-versions	2015-03-09T15:12:32.000+00:00	Added forms for people with no fixed or permanent address and for people to register anonymously to vote.
voter-registration-forms-paper-versions	2014-12-01T08:58:04.000+00:00	Added large print versions.
voter-registration-forms-paper-versions	2014-09-23T15:40:38.000+01:00	Added forms for people living in Scotland.
voter-registration-forms-paper-versions	2014-06-10T00:15:00.000+01:00	First published.
application-to-naturalise-as-a-british-citizen-form-an	2017-02-16T00:00:02.000+00:00	Updated AN form.
application-to-naturalise-as-a-british-citizen-form-an	2017-01-16T17:23:46.000+00:00	Updated AN guide and booklet.
application-to-naturalise-as-a-british-citizen-form-an	2016-09-21T09:57:58.000+01:00	Updated 'Booklet AN'.
application-to-naturalise-as-a-british-citizen-form-an	2016-08-09T10:32:53.000+01:00	We would like to remind applicants that the current version of the AN form is January 2016.
application-to-naturalise-as-a-british-citizen-form-an	2016-07-20T16:40:53.000+01:00	Updated AN Form.
application-to-naturalise-as-a-british-citizen-form-an	2016-06-14T10:38:13.000+01:00	Updated AN booklet and guide.
application-to-naturalise-as-a-british-citizen-form-an	2016-01-12T12:41:24.000+00:00	Updated form.
application-to-naturalise-as-a-british-citizen-form-an	2015-12-09T12:38:57.000+00:00	Updated guidance, December 2015.
application-to-naturalise-as-a-british-citizen-form-an	2015-11-18T18:03:30.000+00:00	Updated booklet, November 2015.
application-to-naturalise-as-a-british-citizen-form-an	2015-11-02T17:16:38.000+00:00	Updated AN form.
application-to-naturalise-as-a-british-citizen-form-an	2015-10-28T15:28:34.000+00:00	Updated AN guide and AN booklet.
application-to-naturalise-as-a-british-citizen-form-an	2015-07-14T15:04:36.000+01:00	Updated guidance
application-to-naturalise-as-a-british-citizen-form-an	2015-07-03T13:56:10.000+01:00	Updated guidance
application-to-naturalise-as-a-british-citizen-form-an	2015-06-04T12:31:10.000+01:00	Updated AN booklet.
application-to-naturalise-as-a-british-citizen-form-an	2015-05-29T11:32:21.000+01:00	Updated documents.
application-to-naturalise-as-a-british-citizen-form-an	2015-04-02T10:51:48.000+01:00	Updated document.
application-to-naturalise-as-a-british-citizen-form-an	2015-03-26T11:52:27.000+00:00	Updated documents
application-to-naturalise-as-a-british-citizen-form-an	2014-12-22T12:17:24.000+00:00	Updated AN booklet
application-to-naturalise-as-a-british-citizen-form-an	2014-12-09T17:21:09.000+00:00	Updated booklet on naturalisation
application-to-naturalise-as-a-british-citizen-form-an	2014-06-09T16:53:00.000+01:00	A new version of this form and guidance have been published for use on or after 2 June 2014. You can now tell us your email address to receive an update on the progress of your application.
application-to-naturalise-as-a-british-citizen-form-an	2014-04-02T12:45:30.000+01:00	Additional information on the Citizenship (Armed Forces) Act.
application-to-naturalise-as-a-british-citizen-form-an	2013-10-01T01:00:00.000+01:00	First published.
self-assessment-tax-return-sa100	2017-04-06T00:45:17.000+01:00	The 2016 to 2017 form and notes have been added to this page.
self-assessment-tax-return-sa100	2016-04-06T00:30:16.000+01:00	Rates, allowances and duties have been updated for the tax year 2016 to 2017.
self-assessment-tax-return-sa100	2015-07-13T11:44:51.000+01:00	Updates made to How to fill in your tax return (2015).
self-assessment-tax-return-sa100	2015-06-26T10:57:35.000+01:00	Tax return 2015 updated with information about how HMRC will make repayments to customers.
self-assessment-tax-return-sa100	2015-04-06T00:30:23.000+01:00	The 2015 to 2016 form has been added to this page.
self-assessment-tax-return-sa100	2014-11-21T08:40:29.000+00:00	The Self Assessment/PAYE return postal address has now changed for the returns to be received by HMRC. The new postal address has been added to send back completed returns.
self-assessment-tax-return-sa100	2014-07-07T02:01:00.000+01:00	Added translation
national-insurance-get-your-national-insurance-number-in-writing-ca5403	2015-12-22T08:05:08.000+00:00	An online service is now available.
national-insurance-get-your-national-insurance-number-in-writing-ca5403	2015-08-17T13:39:17.000+01:00	Amended postal address to: National Insurance Contributions and Employer Office, HM Revenue and Customs, BX9 1AN.
national-insurance-get-your-national-insurance-number-in-writing-ca5403	2014-04-09T01:00:00.000+01:00	Added translation
self-assessment-register-for-self-assessment-and-get-a-tax-return-sa1	2014-07-01T00:00:00.000+00:00	Published
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2017-04-12T09:57:57.000+01:00	Guidance updated. Examples of the type and level of evidence needed to make a valid application added.
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2016-12-30T13:04:03.000+00:00	Added link to European passport return service.
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2016-03-18T00:00:15.000+00:00	Updated form and guidance for use on or after 18 March.
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2015-07-20T00:00:15.000+01:00	Updated form and guidance for use on or after 20 July 2015.
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2015-03-31T00:00:07.000+01:00	Updated information.
apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr	2015-01-30T00:00:00.000+00:00	First published.
paye-starter-checklist	2016-04-04T14:11:18.000+01:00	Printable alternative of PAYE: starter checklist for Welsh and English versions have been added to this page.
paye-starter-checklist	2016-03-08T14:40:31.000+00:00	The Starter Checklist has been updated to reflect new tax year changes and include Student Loan information.
paye-starter-checklist	2015-04-08T13:17:48.000+01:00	Clarification added on how to use the form.
paye-starter-checklist	2015-02-17T15:11:09.000+00:00	Welsh form and translation added.
paye-starter-checklist	2014-04-15T01:00:00.000+01:00	First published.
make-a-lasting-power-of-attorney	2017-04-01T00:00:09.000+01:00	Added translation and changed fee levels on documents
make-a-lasting-power-of-attorney	2016-07-05T09:59:47.000+01:00	The title of the page has been amended to make it clear that these are the paper forms to create a lasting power of attorney, as opposed to the title for the digital service.
make-a-lasting-power-of-attorney	2015-11-24T10:34:21.000+00:00	Added instructions for opening zip files and simplified some attachment names.
make-a-lasting-power-of-attorney	2015-11-23T12:25:38.000+00:00	Added large print LPA pack and instructions for opening zip files.
make-a-lasting-power-of-attorney	2015-09-07T14:58:09.000+01:00	Updated form guidance LP12
make-a-lasting-power-of-attorney	2015-07-16T15:43:25.000+01:00	LP12 guide now includes OPG's information charter.
make-a-lasting-power-of-attorney	2015-07-02T19:43:03.000+01:00	Link added to new Welsh LPA page.
make-a-lasting-power-of-attorney	2015-07-01T00:15:24.000+01:00	Lasting power of attorney (LPA) forms changed on 1 July 2015.There is now just 1 paper form to make and register an LPA instead of 2.
make-a-lasting-power-of-attorney	2015-01-21T10:29:48.000+00:00	Added link to Welsh page.
make-a-lasting-power-of-attorney	2014-12-09T09:40:30.000+00:00	New versions of PFA pack, HW pack, form LPA 111 and LPA112
make-a-lasting-power-of-attorney	2013-10-01T00:00:03.000+01:00	Replace zip packs, including LPA120 form, to reflect new power of attorney application fees from 1 Otober 2013.
make-a-lasting-power-of-attorney	2013-07-09T06:40:34.000+01:00	Uploaded new individual forms
